secs	min	hours
379.49	6.32	0.11
365.03	6.08	0.10
297.74	4.96	0.08
1737.01	28.95	0.48
364.40	6.07	0.10
369.68	6.16	0.10
365.66	6.09	0.10
359.62	5.99	0.10
1680.59	28.01	0.47
318.64	5.31	0.09
355.52	5.93	0.10
317.30	5.29	0.09
1422.56	23.71	0.40
1737.10	28.95	0.48
199.20	3.32	0.06
174.64	2.91	0.05
1243.65	20.73	0.35
317.96	5.30	0.09
1215.91	20.27	0.34
1012.83	16.88	0.28
330.00	5.50	0.09
997.17	16.62	0.28
1166.78	19.45	0.32
1254.76	20.91	0.35
1269.26	21.15	0.35
807.41	13.46	0.22
370.09	6.17	0.10
0.51	0.01	0.00
0.56	0.01	0.00
309.61	5.16	0.09
191.94	3.20	0.05
316.79	5.28	0.09
198.17	3.30	0.06
